model_id,model_family,seed,threshold,checkpoint_path,foreground_mean_dice,foreground_mean_iou,foreground_precision_mean,foreground_recall_mean,boundary_f1_mean,ece,brier_score,empty_mask_rate,over_segmentation_rate,mean_latency_ms,p95_latency_ms,peak_gpu_memory_mb,parameter_count
keyframe_candidate_20260714,convnext2d_keyframe_segmenter,20260714,0.55,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_candidate_20260714.pt,0.8987113079986252,0.8164307287784869,0.9084467917489548,0.8907782247487323,0.9875690889738369,0.0033419236971721964,0.01590844802558422,0.0,0.0,3.09335217563152,3.565999984741211,22.19287109375,77258
keyframe_multiscale_depthwise_unet_s20260715_20260715,multiscale_depthwise_unet_keyframe_segmenter,20260715,0.4,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_multiscale_depthwise_unet_s20260715_20260715.pt,0.8847783556086787,0.7938016511010687,0.8803765709215856,0.8908286423338744,0.9835858997742662,0.007659072739624169,0.018542882055044174,0.0,0.0,3.2835782609333326,4.008200168609619,20.138671875,29414
keyframe_multiscale_depthwise_unet_s20260716_20260715,multiscale_depthwise_unet_keyframe_segmenter,20260716,0.45,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_multiscale_depthwise_unet_s20260716_20260715.pt,0.9039997349449195,0.8250663610094106,0.9108777135117277,0.8987300338188028,0.9869038332256895,0.005938628129030594,0.015428001061081886,0.0,0.0,3.3613956525780098,4.709630012512207,20.138671875,29414
keyframe_multiscale_depthwise_unet_20260715,multiscale_depthwise_unet_keyframe_segmenter,20260714,0.45,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_multiscale_depthwise_unet_20260715.pt,0.9045180146995531,0.8259408495531567,0.9208905393614737,0.8902417230814917,0.9868744794893457,0.007106401384885431,0.015374395065009594,0.0,0.0,3.651873913401252,4.045030117034912,20.138671875,29414
keyframe_residual_attention_unet_s20260715_20260715,residual_attention_unet_keyframe_segmenter,20260715,0.4,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_residual_attention_unet_s20260715_20260715.pt,0.9176808575737171,0.8483354444396993,0.9231171042484089,0.9135025025037503,0.9894770583254818,0.00494341892459064,0.013097568415105343,0.0,0.0,4.20616521707574,4.836150169372559,26.03173828125,403785
keyframe_residual_attention_unet_s20260716_20260715,residual_attention_unet_keyframe_segmenter,20260716,0.5,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_residual_attention_unet_s20260716_20260715.pt,0.9168625871926697,0.8467195356755554,0.9256408158915369,0.9095789389104844,0.9893509397241652,0.0037451224441999408,0.01299632154405117,0.0,0.0,4.127999999226354,4.824699878692627,26.03173828125,403785
keyframe_residual_attention_unet_20260715,residual_attention_unet_keyframe_segmenter,20260714,0.4,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_residual_attention_unet_20260715.pt,0.9101373969076231,0.8353669776007552,0.9156886854959562,0.9066729000390287,0.9901828935494327,0.005375265526159014,0.014389749616384506,0.0,0.0,4.861265216554191,5.731629848480225,26.03173828125,403785
