model,threshold,dice,iou,precision,recall,boundary_f1,ece,brier_score,empty_mask_rate,over_segmentation_rate,parameters,mean_latency_ms_160x256,p95_latency_ms_160x256,throughput_fps_160x256,peak_gpu_memory_mb_160x256,p95_latency_ms_4k_tiled,peak_gpu_memory_mb_4k_tiled
ConvNeXt U-Net,0.65,0.8987346973795938,0.8175897906006855,0.913794796578713,0.8881254415139005,0.9851420956065167,0.005522404575026802,0.01639334298670292,0.0,0.0,77258,2.736942250278293,3.3250999450683594,365.37124592172876,22.19287109375,853.29,656.32
Multi-scale DW U-Net,0.65,0.9129225408617998,0.8402461719522076,0.9149912104966178,0.9127113395568018,0.9867016491365741,0.008332432658786557,0.014697885140776634,0.0,0.0,29414,3.3482830987056116,3.982150077819824,298.66052855165765,21.138671875,883.16,608.14
Plain U-Net,0.4,0.9175760948468263,0.8479949991981,0.9316533274968454,0.905498230904378,0.9894835839053882,0.005597920657358045,0.013943358324468136,0.0,0.0,92846,1.9948577477996776,2.4857001304626465,501.28887691515706,24.130859375,566.39,704.38
Nested Skip U-Net,0.4,0.9195557192845512,0.8514555450750193,0.9289175346126213,0.9120169635504295,0.9897779234609215,0.00550133021817345,0.013593015260994434,0.0,0.0,99374,2.162174648411808,2.8210999965667725,462.49732912858565,27.0380859375,712.62,752.41
Residual Attention U-Net,0.35,0.9198094382300704,0.8520076692200182,0.9323492767604306,0.9092377086022674,0.988596745527222,0.008740143657713952,0.013905822299420834,0.0,0.0,403785,4.459866197143589,5.672149658203125,224.22197343957762,27.0166015625,761.85,723.58
