case_id,source_group_id,convnext_dice,multiscale_dice,plain_dice,nested_dice,proposed_dice
d046_mp4_grouped_20260726_OL-2021-07-20-134139-000008-record_c44a313e_frame_000952,c:/users/876762330/desktop/projects/osteo-vision/research/datasets/public-candidates/d046_fluorescence_osteomyelitis_videos/raw/fluorescence_proxy/ofdvdnet_dryad_v6wwpzh3w/extracted/ol-2021-07-20-134139-000008-record.mp4,0.908726,0.925064,0.925597,0.924512,0.934934
d046_mp4_grouped_20260726_OL-2021-07-20-135026-000020-record_6735764e_frame_000796,c:/users/876762330/desktop/projects/osteo-vision/research/datasets/public-candidates/d046_fluorescence_osteomyelitis_videos/raw/fluorescence_proxy/ofdvdnet_dryad_v6wwpzh3w/extracted/ol-2021-07-20-135026-000020-record.mp4,0.904957,0.912222,0.901493,0.916741,0.923654
d046_mp4_grouped_20260726_OL-2021-07-20-130045-000042-record_587e6f0b_frame_000434,c:/users/876762330/desktop/projects/osteo-vision/research/datasets/public-candidates/d046_fluorescence_osteomyelitis_videos/raw/fluorescence_proxy/ofdvdnet_dryad_v6wwpzh3w/extracted/ol-2021-07-20-130045-000042-record.mp4,0.899327,0.908134,0.921403,0.922591,0.928587
