artifact_role,direct_download_url,local_md5,local_path,original_file_name,sha256,size_bytes,source_archive_member,zenodo_checksum,zenodo_declared_md5,zip_crc32,zip_crc_verified
zenodo_metadata_snapshot,https://zenodo.org/api/records/17745489,,metadata\zenodo_record_17745489.json,zenodo_record_17745489.json,5c3126b5ca2f249b19cfd4e8d38ff86cb1831b7ccdf40da7b300037ecca4eb5f,4739,,,,,
zenodo_source_archive,https://zenodo.org/api/records/17745489/files/SupplementaryVideos_Koppikeretal%20SLNB%202025.zip/content,269700b72b53dd4b0b97bea34714f69e,raw\archive\SupplementaryVideos_Koppikeretal SLNB 2025.zip,SupplementaryVideos_Koppikeretal SLNB 2025.zip,6610ba31ffb6e676ef92ff356e21e5f61a6f667898f032a88da91c258b61e651,569008591,,md5:269700b72b53dd4b0b97bea34714f69e,269700b72b53dd4b0b97bea34714f69e,,
extracted_supplementary_video,,,raw\videos\Video S1 Case 1 Koppiker et. al. SLNB.mp4,Video S1 Case 1 Koppiker et. al. SLNB.mp4,91a85479a2ac0c9bf5d45bea5f5f533e7e59c883a43f7fe13a79638f520d4d60,182980873,SupplementaryVideos_Koppikeretal SLNB 2025/Video S1 Case 1 Koppiker et. al. SLNB.mp4,,,6ea1a97b,True
extracted_supplementary_video,,,raw\videos\Video S2 Case 2 Koppiker et. al. SLNB.mp4,Video S2 Case 2 Koppiker et. al. SLNB.mp4,1bb58cdc1f3f411d98f9c1a8fc60ea6a63c45b645bd8215da68bc6de82b22be0,200363882,SupplementaryVideos_Koppikeretal SLNB 2025/Video S2 Case 2 Koppiker et. al. SLNB.mp4,,,3310004c,True
extracted_supplementary_video,,,raw\videos\Video S3 Case 3 Koppiker et. al. SLNB.mp4,Video S3 Case 3 Koppiker et. al. SLNB.mp4,1da0af3ccd748b3b9651bbeae76c0294e4f533ddfb9840a7ae538bae616fe690,194035921,SupplementaryVideos_Koppikeretal SLNB 2025/Video S3 Case 3 Koppiker et. al. SLNB.mp4,,,74433893,True
