model_id,family,enabled,available,checkpoint_path,checkpoint_exists,checkpoint_sha256,artifact_manifest_exists,model_card_exists,manifest_model_id_matches,clinical_claim_allowed,status_reasons,status_warnings,medical_boundary
convnext3d_d025_proxy_segmenter,convnext3d_segmenter,True,True,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\d025_lesion_smoke.pt,True,3b6cd68118626d6204f091295c563b7175773959a583269af3cdfb2c94a08a34,True,True,False,False,,,D025 CBCT lesion ROI proxy; not target-domain intraoperative ICG jaw osteomyelitis evidence.
fluorescence_hotspot_2d_segmenter,fluorescence_hotspot_segmenter,True,True,,False,,False,False,,False,,,Heuristic 2D fluorescence hotspot baseline; not trained target-domain diagnosis.
convnext2d_keyframe_proxy_segmenter,convnext2d_keyframe_segmenter,True,True,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_convnext2d_proxy.pt,True,04940739eaef4a69aa85cbc8408405d74957c7b7b467981224015feeeb8fd716,True,True,True,False,,,Trainable 2D JPEG/MP4 keyframe proxy segmenter; synthetic or pseudo-labeled non-target-domain evidence.
d025_lesion_smoke_segmenter,d025_lesion_segmenter,True,True,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\d025_lesion_smoke.pt,True,3b6cd68118626d6204f091295c563b7175773959a583269af3cdfb2c94a08a34,True,True,True,False,,,D025 CBCT lesion ROI proxy; not target-domain intraoperative ICG jaw osteomyelitis evidence.
nnunet_v2_osteo_baseline,nnunet_v2,True,False,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\nnunet_v2,False,,False,False,,False,adapter inference not implemented; missing checkpoint: artifacts/checkpoints/osteo_vision/nnunet_v2,checkpoint_missing,"Configured candidate model; availability depends on adapter implementation, dependencies, and weights."
medsam2_osteo_promptable,medsam_like,True,True,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\medsam2.pt,False,,False,False,,False,,medsam_checkpoint_missing_prompt_fallback,Prompt-contract fallback if enabled; not real MedSAM/SAM2 checkpoint inference or target-domain diagnosis.
biomedclip_osteo_screening,vlm_encoder,True,False,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\biomedclip.pt,False,,False,False,,False,adapter inference not implemented; missing dependency: open_clip; missing checkpoint: artifacts/checkpoints/osteo_vision/biomedclip.pt,checkpoint_missing,"Configured candidate model; availability depends on adapter implementation, dependencies, and weights."
fixture_default,fixture,True,True,,False,,False,False,,False,,,Deterministic fixture fallback for tests and demos only.
